Year,Mo,Dy,TSU ,EQ,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent
2002,1,3,0,0,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,3,M
2002,1,17,0,0,Nyiragongo,Africa-C,"Congo, DRC",-1.52,29.25,3470,Stratovolcano,1,
2002,8,28,0,1,Etna,Italy,Italy,37.748,14.999,3320,Stratovolcano,3,
2002,11,3,0,0,Reventador,Ecuador,Ecuador,-0.077,-77.656,3562,Stratovolcano,4,I
2002,,,0,0,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,T
2003,7,12,1,0,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,3,
2004,1,29,0,0,Egon,Lesser Sunda Is,Indonesia,-8.676,122.455,1661,Stratovolcano,1,T
2004,6,8,0,0,Tengger Caldera,Java,Indonesia,-7.942,112.95,2329,Stratovolcano,2,T
2004,10,24,0,0,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4,T
2005,1,27,0,0,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4,T
2005,10,1,0,0,Santa Ana,El Salvador,El Salvador,13.853,-89.63,2381,Stratovolcano,3,A
2006,5,20,1,0,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,2,P
2006,6,7,0,0,Bulusan,Luzon-Philippines,Philippines,12.769,124.056,1535,Stratovolcano,2,
2006,6,14,0,0,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,1,
2006,7,18,0,0,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,
2006,8,17,0,0,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,T
2006,11,30,0,0,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,1,m
2007,3,,0,0,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4,M
2007,5,19,1,0,Ritter Island,New Guinea-NE of,Papua New Guinea,-5.519,148.115,75,Stratovolcano,1,"A,W"
2008,8,8,1,0,Kasatochi,Aleutian Is,United States,52.177,-175.508,314,Stratovolcano,3,
2008,8,22,0,0,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,M
2010,1,,0,0,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,
2010,3,31,0,0,Eyjafjallajokull,Iceland-S,Iceland,63.633,-19.633,1651,Stratovolcano,2,
2010,5,27,0,0,Pacaya,Guatemala,Guatemala,14.382,-90.601,2569,Complex volcano,1,T
2010,8,6,0,0,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,3,
2010,11,,0,0,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,
2011,2,23,0,0,Bulusan,Luzon-Philippines,Philippines,12.769,124.056,1535,Stratovolcano,2,
2011,4,,0,0,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,4,
2011,6,4,0,0,Puyehue-Cordon Caulle,Chile-C,Chile,-40.59,-72.117,2236,Stratovolcano,4,
2011,6,22,0,0,Nabro,Africa-NE,Eritrea,13.37,41.7,2218,Stratovolcano,3,
2011,12,27,0,0,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.33,1715,Stratovolcano,3,m
2013,8,10,0,0,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,3,
2013,9,15,0,0,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,2,
2014,9,27,0,0,Ontakesan,Honshu-Japan,Japan,35.893,137.48,3067,Complex volcano,3,
2015,7,31,0,0,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,2,
2017,4,13,0,0,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,2,P
2017,6,6,0,0,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,2,P
2018,2,1,0,0,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,1,G
2018,3,30,0,0,Ambae,Vanuatu-SW Pacific,Vanuatu,-15.389,167.835,1496,Shield volcano,3,"T,G,M"
2018,4,28,1,1,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,1,L
2018,6,3,0,0,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,2,P
2018,8,25,0,0,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4,"L,T"
2018,12,15,0,1,Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25,168.12,1334,Pyroclastic shield,2,"S,T,G"
2018,12,22,1,0,Krakatau,Indonesia,Indonesia,-6.102,105.423,155,Caldera,3,W
2018,12,26,0,1,Etna,Italy,Italy,37.748,14.999,3320,Stratovolcano,2,S
2019,1,7,0,0,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4,T
2019,6,28,0,0,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4,"A,P,T"
2019,7,3,0,0,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,2,"P,T"
2019,8,28,1,0,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,2,W
2019,12,9,0,0,Whakaari/White Island,New Zealand,New Zealand,-37.52,177.18,294,Stratovolcano,2,T
2021,3,5,0,0,Sangay,Ecuador,Ecuador,-2.005,-78.341,5286,Stratovolcano,2,T
2021,3,,0,0,Pacaya,Guatemala,Guatemala,14.382,-90.601,2569,Complex volcano,1,"L,T"
2021,5,22,0,1,Nyiragongo,Africa-C,"Congo, DRC",-1.52,29.25,3470,Stratovolcano,2,"L,I,S"
